service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
99903,1,1,1,1,1,0,0,20140506,20151231
99904,1,1,1,1,1,0,0,20140506,20151231
99905,1,1,1,1,1,0,0,20140506,20151231
99906,1,1,1,1,1,0,0,20140506,20151231
99907,1,1,1,1,1,0,0,20140506,20151231
99908,1,1,1,1,1,0,0,20140506,20151231
99909,1,1,1,1,1,0,0,20140506,20151231
99910,1,1,1,1,1,0,0,20140506,20151231
99911,1,1,1,1,1,0,0,20140506,20151231
99912,1,1,1,1,1,0,0,20140506,20151231
99913,1,1,1,1,1,0,0,20140506,20151231
99914,1,1,1,1,1,0,0,20140506,20151231
99915,1,1,1,1,1,0,0,20140506,20151231
99916,1,1,1,1,1,0,0,20140506,20151231
99917,1,1,1,1,1,0,0,20140506,20151231
99918,1,1,1,1,1,0,0,20140506,20151231
99919,1,1,1,1,1,0,0,20140506,20151231
99920,1,1,1,1,1,0,0,20140506,20151231
99921,1,1,1,1,1,0,0,20140506,20151231
99922,1,1,1,1,1,0,0,20140506,20151231
99923,1,1,1,1,1,0,0,20140506,20151231
99924,1,1,1,1,1,0,0,20140506,20151231
99925,1,1,1,1,1,0,0,20140506,20151231
99926,1,1,1,1,1,0,0,20140506,20151231
99927,1,1,1,1,1,0,0,20140506,20151231
99928,1,1,1,1,1,0,0,20140506,20151231
99929,1,1,1,1,1,0,0,20140506,20151231
99930,1,1,1,1,1,0,0,20140506,20151231
99931,1,1,1,1,1,0,0,20140506,20151231
99932,1,1,1,1,1,1,0,20140506,20151231
99933,1,1,1,1,1,1,0,20140506,20151231
99934,1,1,1,1,1,1,0,20140506,20151231
99935,1,1,1,1,1,1,0,20140506,20151231
99936,1,1,1,1,1,1,0,20140506,20151231
99937,1,1,1,1,1,1,0,20140506,20151231
99938,1,1,1,1,1,1,0,20140506,20151231
99939,1,1,1,1,1,1,0,20140506,20151231
99940,1,1,1,1,1,1,0,20140506,20151231
99941,1,1,1,1,1,1,0,20140506,20151231
99942,1,1,1,1,1,1,0,20140506,20151231
99943,1,1,1,1,1,1,0,20140506,20151231
99944,1,1,1,1,1,1,0,20140506,20151231
99945,0,0,0,0,0,0,1,20140506,20151231
99946,0,0,0,0,0,0,1,20140506,20151231
99947,0,0,0,0,0,0,1,20140506,20151231
99948,0,0,0,0,0,0,1,20140506,20151231
99949,0,0,0,0,0,0,1,20140506,20151231
99950,0,0,0,0,0,0,1,20140506,20151231
99951,0,0,0,0,0,0,1,20140506,20151231
